Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
1,78.06400624196213,93.08116544167925,109.87639392589485,74.59891468156086,88.04891524433064,103.03453619130117,80.95474487443268,97.20620318462812,115.30962762324312,79.91323273117686,97.134643777021,116.73481013672593,83.26044502668101,100.24410865608068,118.88378699899586
2,81.27347810933728,96.53922208460276,113.32137050607577,76.95384669068169,90.98499313153408,106.30865602900502,84.66355150839004,100.87539899831712,118.7490978989285,82.8511030352023,100.47629851806327,120.18145454069548,86.82493396994579,104.78443859764091,124.66588653559354
3,80.4169080100174,97.48032254020713,117.08315104515526,74.98886092567707,87.92670836279662,102.1819862883182,86.16097193542504,106.67551740856264,129.81715251886672,82.31474937220229,100.84970960759163,121.8719127348003,90.47363622190926,111.95879187541698,135.89835781780468
4,75.06330380906444,88.2407718718295,102.36605256730056,74.00300294905013,86.82412200422934,100.47504166835493,75.98293299098819,89.3824008068588,103.84499041891108,78.78222338378536,94.00046568411528,110.3254279870102,80.00321599883262,95.63562832851922,112.68052009381798
5,80.19956146525392,95.70816752150272,112.8744846191958,77.55790821722887,92.99158369867786,110.57027467820984,82.12914085510012,97.48962482110086,114.12744992948728,82.74148884409766,100.53571990404348,120.3060613671734,85.58671437884608,103.17248163998508,122.40230987326818
7,78.16700486350551,92.19510291590343,107.39858903440684,74.24449758112907,86.44439610115897,99.38049927963785,81.90475590125914,97.36005434568315,114.2289786076195,84.76138678622215,102.60605174179734,122.1907913438345,88.87492837184095,108.18225459982138,129.46821659663323
8,77.87194883590931,91.3183779772117,105.7295712881671,77.03725805967566,90.26327237694267,104.54911196867157,78.4783341561461,91.98492316147222,106.3764799135457,82.18238360394993,98.58576696809146,116.59690917390668,81.14484620741781,96.2414595483834,112.46091086337276
9,79.0359990403827,92.62883642155744,107.1858349838192,74.96880535951234,87.69048127190247,101.46493256266112,82.42207739532061,96.50780474930345,111.49318673480404,84.31300780960787,101.07040263256914,119.51883701854862,87.64132298617096,104.53382292635962,123.06612601830118
10,77.26586027838077,90.23261856522234,104.02926981984676,74.64211501446806,87.29534046382103,100.84768259480931,79.12323303279423,92.28528857220432,106.2225444315596,80.77223350608615,96.07510814513216,112.59361696489556,83.84645574758595,99.31443647558696,115.93623247029812
11,77.33176514554842,91.42466051193732,106.79819095082836,77.34037082809178,90.96212432607189,105.8110687348693,77.1778917769434,91.5748941557725,107.30083240026995,83.64639409131544,101.65889663234782,122.0100662847244,83.93697290604315,102.22927260707382,122.53970152184344
12,75.91979259563097,89.54323054562539,104.2317641292183,74.82975872440797,87.85074665280914,101.97526512686818,76.93391463534431,90.95579620398344,105.9845617607236,81.88234579081563,99.26198157666865,118.4749135769467,82.68672750662381,99.48255049972065,117.52427412551324
